PO_Number,SupplierID,ProductID,OrderDate,ExpectedDeliveryDate,QuantityOrdered,UnitCost,TotalPOValue,Currency,PO_Status
PO-SYN-0000001,SUP-00095,PRD-00800,2025-06-10,2025-07-24,13779,1511.98,20833572.42,INR,IN_TRANSIT
PO-SYN-0000002,SUP-00083,PRD-03484,2025-12-10,2026-01-26,8111,1654.5,13419649.5,GBP,FULFILLED
PO-SYN-0000003,SUP-00569,PRD-03789,2024-03-25,2024-06-01,5557,211.92,1177639.44,EUR,APPROVED
PO-SYN-0000004,SUP-00870,PRD-02814,2025-03-04,2025-05-10,9174,760.41,6976001.34,CNY,FULFILLED
PO-SYN-0000005,SUP-00974,PRD-04829,2025-09-26,2025-10-11,2756,471.98,1300776.88,INR,FULFILLED
PO-SYN-0000006,SUP-00280,PRD-03651,2025-11-25,2026-01-11,6796,1656.55,11257913.8,GBP,FULFILLED
PO-SYN-0000007,SUP-00659,PRD-00883,2024-06-23,2024-07-27,7652,490.98,3756978.96,INR,APPROVED
PO-SYN-0000008,SUP-00139,PRD-03225,2024-06-02,2024-08-08,8149,1731.55,14110400.95,EUR,FULFILLED
PO-SYN-0000009,SUP-00138,PRD-02658,2025-02-27,2025-04-09,14102,2382.22,33594066.44,USD,APPROVED
PO-SYN-0000010,SUP-00939,PRD-02860,2025-07-09,2025-08-19,14858,714.8,10620498.4,USD,IN_TRANSIT
PO-SYN-0000011,SUP-00677,PRD-01356,2024-08-22,2024-10-06,1845,561.01,1035063.45,EUR,DELAYED
PO-SYN-0000012,SUP-00380,PRD-03737,2026-06-17,2026-06-30,8913,1824.22,16259272.86,EUR,DELAYED
PO-SYN-0000013,SUP-00112,PRD-01820,2026-04-20,2026-07-02,1323,2136.3,2826324.9,JPY,FULFILLED
PO-SYN-0000014,SUP-00130,PRD-02378,2024-11-20,2024-12-24,7343,800.08,5874987.44,GBP,APPROVED
PO-SYN-0000015,SUP-00112,PRD-01991,2025-12-31,2026-02-11,527,2365.72,1246734.44,INR,FULFILLED
PO-SYN-0000016,SUP-00687,PRD-00775,2025-02-08,2025-03-06,7289,157.77,1149985.53,GBP,IN_TRANSIT
PO-SYN-0000017,SUP-00921,PRD-01214,2024-11-16,2025-01-30,1572,933.35,1467226.2,INR,FULFILLED
PO-SYN-0000018,SUP-00854,PRD-02541,2024-08-03,2024-08-20,12065,590.23,7121124.95,EUR,APPROVED
PO-SYN-0000019,SUP-00773,PRD-03799,2025-12-02,2025-12-19,2698,2080.56,5613350.88,GBP,APPROVED
PO-SYN-0000020,SUP-00539,PRD-01123,2025-05-26,2025-08-06,4669,492.64,2300136.16,KRW,APPROVED
PO-SYN-0000021,SUP-00441,PRD-03893,2025-06-06,2025-06-16,108,588.86,63596.88,USD,FULFILLED
PO-SYN-0000022,SUP-00001,PRD-04685,2024-05-19,2024-06-19,12242,922.54,11293734.68,USD,IN_TRANSIT
PO-SYN-0000023,SUP-00931,PRD-00246,2025-11-05,2025-12-21,5210,881.24,4591260.4,USD,IN_TRANSIT
PO-SYN-0000024,SUP-00156,PRD-01954,2025-05-06,2025-06-02,5795,425.39,2465135.05,EUR,IN_TRANSIT
PO-SYN-0000025,SUP-00580,PRD-02348,2025-05-30,2025-08-11,7528,2184.75,16446798.0,GBP,PENDING_APPROVAL
PO-SYN-0000026,SUP-00639,PRD-03150,2024-04-13,2024-06-11,10644,2246.31,23909723.64,GBP,APPROVED
PO-SYN-0000027,SUP-00300,PRD-02207,2025-08-19,2025-08-31,5179,2040.32,10566817.28,EUR,FULFILLED
PO-SYN-0000028,SUP-00235,PRD-00925,2025-11-16,2026-01-03,13130,565.25,7421732.5,CNY,FULFILLED
PO-SYN-0000029,SUP-00537,PRD-02869,2026-06-19,2026-07-27,12406,1220.42,15140530.52,CNY,FULFILLED
PO-SYN-0000030,SUP-00958,PRD-00797,2025-10-28,2025-11-19,13056,2185.48,28533626.88,CNY,FULFILLED
PO-SYN-0000031,SUP-00436,PRD-03231,2024-12-10,2024-12-28,7616,65.03,495268.48,INR,PENDING_APPROVAL
PO-SYN-0000032,SUP-00915,PRD-03337,2025-02-19,2025-04-09,3048,751.48,2290511.04,INR,IN_TRANSIT
PO-SYN-0000033,SUP-00582,PRD-00990,2025-02-11,2025-03-20,8364,742.41,6209517.24,INR,FULFILLED
PO-SYN-0000034,SUP-00025,PRD-02692,2025-12-18,2026-02-03,13976,2163.04,30230647.04,JPY,APPROVED
PO-SYN-0000035,SUP-00197,PRD-02178,2024-02-03,2024-02-23,12686,2436.88,30914259.68,JPY,IN_TRANSIT
PO-SYN-0000036,SUP-00485,PRD-04685,2026-04-08,2026-05-17,4482,834.79,3741528.78,EUR,IN_TRANSIT
