ShipmentID,PO_Number,OriginWarehouseID,Carrier,TransportMode,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,FuelSurcharge_CrudeIndexed,Currency,ShipmentStatus,BaseFreightCost
SHP-0000001,PO-SYN-0001278,WH-18,MSC Logistics,Air Freight,19-11-2024,04-12-2024,03-12-2024,1416.03,USD,Delayed_Weather,5719.35
SHP-0000002,PO-SYN-0002196,WH-16,DB Schenker,Ocean Freight,29-07-2025,13-08-2025,17-08-2025,1379.71,USD,In_Transit,6086.64
SHP-0000003,PO-SYN-0009187,WH-01,FedEx,Ocean Freight,05-05-2025,20-05-2025,14-05-2025,2197.27,USD,Delivered,15402.96
SHP-0000004,PO-SYN-0008946,WH-01,FedEx,Air Freight,06-04-2025,21-04-2025,29-04-2025,3002.07,USD,Scheduled,9503.27
SHP-0000005,PO-SYN-0003126,WH-25,DHL,Air Freight,01-07-2025,16-07-2025,14-07-2025,2432.45,USD,Delivered,19678.36
SHP-0000006,PO-SYN-0000927,WH-30,DHL Express,Air Freight,25-06-2025,10-07-2025,16-07-2025,2652.57,USD,Port_Customs_Hold,8468.42
SHP-0000007,PO-SYN-0012823,WH-09,FedEx,Ocean Freight,03-02-2024,18-02-2024,29-02-2024,3957.71,USD,In_Transit,19142.95
SHP-0000008,PO-SYN-0001455,WH-27,DHL Express,Road Transport,10-12-2025,25-12-2025,05-01-2026,1590.97,USD,Scheduled,12573.17
SHP-0000009,PO-SYN-0003936,WH-01,MSC Logistics,Ocean Freight,07-02-2026,22-02-2026,15-03-2026,194.17,USD,Delivered,1167.89
SHP-0000010,PO-SYN-0002681,WH-12,DHL Express,Air Freight,26-03-2026,10-04-2026,21-04-2026,2804.76,USD,Port_Customs_Hold,19844.88
SHP-0000011,PO-SYN-0003998,WH-36,DHL Express,Ocean Freight,31-05-2024,15-06-2024,17-06-2024,5547.6,USD,In_Transit,23686.89
SHP-0000012,PO-SYN-0002228,WH-45,DHL,Air Freight,19-07-2025,03-08-2025,13-08-2025,2650.19,USD,Delayed_Weather,12469.16
SHP-0000013,PO-SYN-0005019,WH-09,FedEx Express,Ocean Freight,07-10-2024,22-10-2024,23-10-2024,3788.66,USD,Port_Customs_Hold,16324.93
SHP-0000014,PO-SYN-0016613,WH-24,FedEx,Ocean Freight,27-07-2025,11-08-2025,14-08-2025,3439.93,USD,In_Transit,0
SHP-0000015,PO-SYN-0007095,WH-08,Maersk,Road Transport,25-09-2025,10-10-2025,20-10-2025,7197.94,USD,Scheduled,22573.04
SHP-0000016,PO-SYN-0010613,WH-10,DHL,Road Transport,15-05-2026,30-05-2026,11-06-2026,2299.98,USD,Delivered,17346.03
SHP-0000017,PO-SYN-0018348,WH-10,DHL,Air Freight,06-11-2025,21-11-2025,01-12-2025,3624.65,USD,Delayed_Weather,18667.46
SHP-0000018,PO-SYN-0019414,WH-16,FedEx,Truck,24-07-2024,08-08-2024,08-08-2024,256.81,USD,Delayed_Weather,1241.68
SHP-0000019,PO-SYN-0007419,WH-46,FedEx,Air Freight,18-04-2026,03-05-2026,07-05-2026,1325.11,USD,Delayed_Weather,7274.1
SHP-0000020,PO-SYN-0017430,WH-04,FedEx Express,Road Transport,14-02-2026,01-03-2026,12-03-2026,1456.47,USD,Scheduled,6152.255
SHP-0000021,PO-SYN-0008673,WH-08,DB Schenker,Ocean Freight,09-03-2026,24-03-2026,15-04-2026,477.58,USD,Delivered,3243.82
SHP-0000022,PO-SYN-0008161,WH-04,Maersk Line,Air Freight,02-03-2024,17-03-2024,02-04-2024,5715.8,USD,Delivered,22892.18
SHP-0000023,PO-SYN-0015956,WH-17,FedEx,Ocean Freight,13-08-2024,28-08-2024,03-09-2024,6078.32,USD,Delivered,22197.59
SHP-0000024,PO-SYN-0009281,WH-07,MSC Logistics,Ocean Freight,04-07-2024,19-07-2024,17-07-2024,2383.25,USD,Delivered,9430.14
SHP-0000025,PO-SYN-0016088,WH-26,FedEx,Road Transport,01-09-2024,16-09-2024,25-09-2024,5714.53,USD,Port_Customs_Hold,16482.55
SHP-0000026,PO-SYN-0016738,WH-30,FedEx,Air Freight,26-06-2024,11-07-2024,03-07-2024,4534.91,USD,Delivered,19850.9
SHP-0000027,PO-SYN-0002134,WH-47,DHL,Air Freight,17-01-2025,01-02-2025,30-01-2025,3285.39,USD,Delayed_Weather,19488.18
SHP-0000028,PO-SYN-0004530,WH-43,DHL Express,Ocean Freight,30-10-2025,14-11-2025,11-11-2025,1291.48,USD,Delivered,0
SHP-0000029,PO-SYN-0009027,WH-31,DHL,Road Transport,09-05-2025,24-05-2025,14-06-2025,6472.86,USD,Delivered,24341.16
SHP-0000030,PO-SYN-0004911,WH-34,MSC Logistics,Air Freight,13-11-2024,28-11-2024,05-12-2024,7871.11,USD,Delayed_Weather,23711.64
SHP-0000031,PO-SYN-0019773,WH-13,FedEx,Road Transport,30-09-2025,15-10-2025,20-10-2025,2809.85,USD,In_Transit,15331.72
SHP-0000032,PO-SYN-0009752,WH-36,MSC Logistics,Air Freight,16-04-2025,01-05-2025,29-04-2025,1386.57,USD,Delayed_Weather,5108
SHP-0000033,PO-SYN-0002776,WH-07,FedEx,Truck,30-09-2024,15-10-2024,02-11-2024,3767.42,USD,Delivered,11521.84
SHP-0000034,PO-SYN-0007452,WH-13,Maersk,Air Freight,09-05-2024,24-05-2024,29-05-2024,6410.58,USD,Delayed_Weather,20220.78
SHP-0000035,PO-SYN-0002786,WH-17,MSC Logistics,Ocean Freight,26-07-2025,10-08-2025,12-08-2025,2679.31,USD,Delayed_Weather,14229.52
