InventoryID,WarehouseID,ProductID,QuantityOnHand,QuantityAllocated,QuantityAvailable,SafetyStock,LastRestockDate,StorageBin
INV-0000001,WH-28,PRD-01551,7306,3125,4181,250 units,27-05-2026,ZONE-B-30
INV-0000002,WH-24,PRD-00713,1048,6635,-5587,250 units,26-02-2024,ZONE-C-26
INV-0000003,WH-10,PRD-04253,1779,4107,-2328,250,27-01-2025,ZONE-D-10
INV-0000004,WH-48,PRD-04680,27252,7358,19894,1000,28-03-2024,ZONE-E-Aisle33
INV-0000005,WH-16,PRD-04800,25497,3919,21578,250 units,29-01-2024,ZONE-F-7
INV-0000006,WH-38,PRD-04731,9353,4477,4876,500,10-05-2024,ZONE-G-17
INV-0000007,WH-12,PRD-04409,18999,5810,13189,,04-05-2024,bin_7
INV-0000008,WH-46,PRD-03812,19475,1586,17889,250 units,12-08-2024,ZONE-I-Aisle04
INV-0000009,WH-16,PRD-01253,8173,976,7197,250,01-06-2025,ZONE-J-19
INV-0000010,WH-33,PRD-03895,28359,762,27597,250,,ZONE-K-31
INV-0000011,WH-29,PRD-00889,24544,1141,23403,250,18-04-2026,ZONE-L-1
INV-0000012,WH-01,PRD-02359,25986,1525,24461,250,12-05-2025,ZONE-A-Aisle31
INV-0000013,WH-11,PRD-02451,11836,2283,9553,250 units,04-03-2024,ZONE-B-25
INV-0000014,WH-32,PRD-03221,13976,6547,7429,500,19-05-2024,bin_14
INV-0000015,WH-33,PRD-02957,33824,5994,27830,500,10-11-2024,ZONE-D-3
INV-0000016,WH-43,PRD-00472,2817,2379,438,250,19-06-2026,ZONE-E-Aisle21
INV-0000017,WH-04,PRD-00959,28772,1056,27716,,10-02-2024,ZONE-F-6
INV-0000018,WH-37,PRD-01191,2187,6959,-4772,250 units,03-04-2026,ZONE-G-34
INV-0000019,WH-15,PRD-00478,2146,761,1385,250 units,28-02-2025,ZONE-H-20
INV-0000020,WH-43,PRD-04894,11998,4478,7520,1000,,ZONE-I-Aisle06
INV-0000021,WH-20,PRD-04846,4565,546,4019,1000,03-03-2024,bin_21
INV-0000022,WH-16,PRD-00336,8083,459,7624,,07-02-2025,ZONE-K-38
INV-0000023,WH-33,PRD-01695,11388,4034,7354,500,16-03-2025,ZONE-L-28
INV-0000024,WH-40,PRD-02067,24,1549,-1525,250,15-01-2024,ZONE-A-Aisle09
INV-0000025,WH-15,PRD-04758,28851,2944,25907,1000,30-07-2024,ZONE-B-19
INV-0000026,WH-44,PRD-02927,4851,3739,1112,500,27-09-2024,ZONE-C-17
INV-0000027,WH-41,PRD-00082,24319,5188,19131,,22-10-2025,ZONE-D-16
INV-0000028,WH-14,PRD-03772,18158,3396,14762,,08-07-2024,ZONE-E-Aisle13
INV-0000029,WH-48,PRD-01438,30711,416,30295,250,03-08-2025,ZONE-F-2
INV-0000030,WH-23,PRD-03159,12175,5988,6187,1000,,ZONE-G-33
INV-0000031,WH-18,PRD-04660,19214,645,18569,250 units,09-11-2025,ZONE-H-26
INV-0000032,WH-02,PRD-01565,3346,1143,2203,1000,13-01-2026,ZONE-I-Aisle09
INV-0000033,WH-10,PRD-03205,6873,5507,1366,1000,01-06-2026,ZONE-J-15
INV-0000034,WH-42,PRD-00081,19738,4128,15610,500,29-10-2024,ZONE-K-35
INV-0000035,WH-21,PRD-01456,11384,5043,6341,250,25-06-2025,bin_35
INV-0000036,WH-36,PRD-03918,28032,5048,22984,250,04-06-2026,ZONE-A-Aisle11
INV-0000037,WH-33,PRD-01206,20109,1268,18841,1000,19-05-2026,ZONE-B-1
INV-0000038,WH-24,PRD-03243,28675,5375,23300,250,24-10-2025,ZONE-C-12
INV-0000039,WH-46,PRD-03681,33388,3923,29465,1000,11-12-2024,ZONE-D-23
INV-0000040,WH-12,PRD-02216,5964,5398,566,250 units,,ZONE-E-Aisle27
INV-0000041,WH-35,PRD-01230,19368,2978,16390,250 units,18-10-2024,ZONE-F-21
INV-0000042,WH-33,PRD-02036,1014,1561,-547,500,09-06-2024,bin_42
INV-0000043,WH-01,PRD-02906,27615,5587,22028,250,15-08-2024,ZONE-H-19
INV-0000044,WH-27,PRD-03678,25081,2210,22871,250 units,17-06-2024,ZONE-I-Aisle10
