PO_Number,SupplierID,ProductID,OrderDate,ExpectedDeliveryDate,QuantityOrdered,UnitCost,TotalPOValue,Currency,PO_Status
PO-SYN-0000001,SUP-00809,PRD-01858,2024-08-21,2024-10-29,12998,1069.98,13907600.04,GBP,IN_TRANSIT
PO-SYN-0000002,SUP-00296,PRD-01638,2024-01-17,2024-03-05,8125,1766.54,14353137.5,USD,PENDING_APPROVAL
PO-SYN-0000003,SUP-00497,PRD-00190,2024-11-07,2024-12-30,9137,2033.44,18579541.28,usd,CANCELLED
PO-SYN-0000004,SUP-00779,PRD-04250,2024-06-21,2024-08-16,4097,1838.22,7531187.34,eur,CANCELLED
PO-SYN-0000005,SUP-00307,PRD-04217,06/26/2024,20-Aug-2024,4987,692.43,3453148.41,USD,approved 
PO-SYN-0000006,SUP-00767,PRD-03345,2026-05-31,2026-07-05,76,2087.98,158686.48,eur,Approved
PO-SYN-0000007,SUP-00399,PRD-04666,2025-04-25,2025-05-25,12137,1967.24,23876391.88,USD,APPROVED
PO-SYN-0000008,SUP-00566,PRD-00876,2024-08-08,2024-10-12,7297,344.23,2511846.31,EUR,PENDING_APPROVAL
PO-SYN-0000009,SUP-00619,PRD-02099,2024/11/17,PENDING_DATE,5332,1987.34,10596496.88,EUR,FULFILLED
PO-SYN-0000010,SUP-00030,PRD-01057,01/03/2024,24-Jan-2024,6673,216.58,1445238.34,GBP,IN_TRANSIT
PO-SYN-0000011,SUP-00982,PRD-03545,2024-06-07,2024-08-04,12755,1936.28,24697251.4,USD,CANCELLED
PO-SYN-0000012,SUP-00577,PRD-02971,2025-11-05,2026-01-02,12003,773.38,9282880.14,usd,Approved
PO-SYN-0000013,SUP-00787,PRD-00274,2024-05-19,2024-07-31,8346,2240.19,18696625.74,EUR,approved 
PO-SYN-0000014,SUP-00778,PRD-03988,2025-05-07,2025-07-05,1991,1726.65,3437760.15,eur,IN_TRANSIT
PO-SYN-0000015,SUP-00211,PRD-01774,08/28/2025,04-Nov-2025,14031,,,USD,APPROVED
PO-SYN-0000016,SUP-00936,PRD-04557,2024-06-13,2024-07-16,1837,293.18,538571.66,usd,CANCELLED
PO-SYN-0000017,SUP-00687,PRD-01554,2025-09-22,2025-11-25,5352,1320.22,7065817.44,GBP,APPROVED
PO-SYN-0000018,SUP-00425,PRD-04922,2026/03/15,PENDING_DATE,14756,1010.35,14908724.6,USD,IN_TRANSIT
PO-SYN-0000019,SUP-00267,PRD-03637,2024-07-18,2024-09-08,1064,555.98,591562.72,EUR,APPROVED
PO-SYN-0000020,SUP-00858,PRD-04698,12/11/2025,04-Jan-2026,10564,2387.66,25223240.24,CNY,approved 
PO-SYN-0000021,SUP-00237,PRD-03508,2025-02-16,2025-04-09,10286,1354.76,13935061.36,JPY,CANCELLED
PO-SYN-0000022,SUP-00178,PRD-03857,2025-09-03,2025-11-08,700,1270.16,889112.0,eur,PENDING_APPROVAL
PO-SYN-0000023,SUP-00020,PRD-04434,2024-05-16,2024-07-20,13645,1694.59,23122680.55,EUR,APPROVED
PO-SYN-0000024,SUP-00228,PRD-03544,2024-02-15,2024-04-14,13899,2226.47,30945706.53,JPY,FULFILLED
PO-SYN-0000025,SUP-00905,PRD-00498,12/20/2024,12-Jan-2025,10605,213.75,2266818.75,usd,CANCELLED
PO-SYN-0000026,SUP-00932,PRD-04525,2024-09-15,2024-10-05,6827,1945.81,13284044.87,CNY,IN_TRANSIT
PO-SYN-0000027,SUP-00694,PRD-00496,2025/11/30,PENDING_DATE,7828,530.57,4153301.96,usd,APPROVED
PO-SYN-0000028,SUP-00942,PRD-01592,2024-06-06,2024-06-24,6974,1956.12,13641980.88,JPY,approved 
PO-SYN-0000029,SUP-00144,PRD-04478,2026-04-21,2026-05-07,10455,1256.7,13138798.5,EUR,FULFILLED
PO-SYN-0000030,SUP-00541,PRD-01726,10/21/2025,04-Dec-2025,-500,,,USD,FULFILLED
PO-SYN-0000031,SUP-00310,PRD-01568,2024-06-28,2024-08-22,3462,98.36,340522.32,EUR,CANCELLED
PO-SYN-0000032,SUP-00325,PRD-00027,2025-03-27,2025-04-12,6420,115.99,744655.8,CNY,APPROVED
PO-SYN-0000033,SUP-00014,PRD-01792,2025-10-23,2025-12-08,6994,1612.29,11276356.26,usd,Approved
PO-SYN-0000034,SUP-00299,PRD-03055,2024-05-11,2024-05-23,9048,1995.5,18055284.0,GBP,Approved
PO-SYN-0000035,SUP-88888,PRD-00029,03/06/2024,03-May-2024,12649,1765.01,22325611.49,usd,approved 
PO-SYN-0000036,SUP-00913,PRD-04738,2026/06/03,PENDING_DATE,11824,537.64,6357055.36,JPY,CANCELLED
PO-SYN-0000037,SUP-00490,PRD-01637,2024-12-16,2025-01-08,58,2203.03,127775.74,EUR,PENDING_APPROVAL
PO-SYN-0000038,SUP-00408,PRD-01556,2025-03-22,2025-05-26,3050,1968.42,6003681.0,eur,APPROVED
PO-SYN-0000039,SUP-00555,PRD-01696,2026-01-15,2026-03-04,10742,2216.47,23809320.74,CNY,FULFILLED
PO-SYN-0000040,SUP-00451,PRD-77777,09/08/2025,20-Sep-2025,5125,91.57,469296.25,USD,approved 
PO-SYN-0000041,SUP-00148,PRD-01829,2025-02-27,2025-04-11,4737,1966.48,9315215.76,JPY,Approved
PO-SYN-0000042,SUP-00507,PRD-00323,2026-05-06,2026-05-24,4204,2097.57,8818184.28,GBP,IN_TRANSIT
PO-SYN-0000043,SUP-00564,PRD-03355,2026-01-15,2026-03-28,13371,1049.28,14029922.88,CNY,IN_TRANSIT
PO-SYN-0000044,SUP-00822,PRD-02550,2025-05-21,2025-06-04,5615,2187.81,12284553.15,JPY,FULFILLED
PO-SYN-0000045,SUP-00316,PRD-01184,12/06/2024,14-Jan-2025,12438,,,usd,IN_TRANSIT
PO-SYN-0000046,SUP-00293,PRD-03955,2025-10-15,2025-11-18,5849,2139.76,12515456.24,CNY,IN_TRANSIT
PO-SYN-0000047,SUP-00074,PRD-01370,2024-12-24,2025-02-03,10230,2120.37,21691385.1,usd,Approved
PO-SYN-0000048,SUP-00964,PRD-04444,2025-12-14,2026-01-25,9175,2396.43,21987245.25,CNY,APPROVED
PO-SYN-0000049,SUP-00982,PRD-03571,2025-12-26,2026-01-17,4947,739.98,3660681.06,EUR,APPROVED
PO-SYN-0000050,SUP-00284,PRD-04417,07/10/2025,18-Aug-2025,4574,139.63,638667.62,CNY,approved 
PO-SYN-0000051,SUP-00260,PRD-00706,2026-05-28,2026-07-11,11756,1250.98,14706520.88,EUR,IN_TRANSIT
PO-SYN-0000052,SUP-00310,PRD-00647,2025-08-21,2025-08-29,10195,1178.44,12014195.8,eur,CANCELLED
PO-SYN-0000053,SUP-00784,PRD-03343,2024-12-09,2025-01-23,3566,1416.92,5052736.72,eur,FULFILLED
PO-SYN-0000054,SUP-00307,PRD-04393,2025/05/09,PENDING_DATE,8854,444.94,3939498.76,EUR,FULFILLED
PO-SYN-0000055,SUP-00923,PRD-03561,01/06/2025,02-Feb-2025,6417,2213.22,14202232.74,eur,APPROVED
PO-SYN-0000056,SUP-00281,PRD-01632,2024-06-28,2024-07-31,3303,1786.0,5899158.0,JPY,approved 
PO-SYN-0000057,SUP-00161,PRD-01612,2025-09-29,2025-11-12,14646,2111.89,30930740.94,EUR,FULFILLED
PO-SYN-0000058,SUP-00664,PRD-02424,2024-01-06,2024-01-23,524,1199.41,628490.84,CNY,APPROVED
PO-SYN-0000059,SUP-00944,PRD-03630,2024-08-22,2024-08-29,4719,2383.65,11248444.35,usd,FULFILLED
PO-SYN-0000060,SUP-00412,PRD-00871,03/01/2025,16-Apr-2025,-500,,,EUR,PENDING_APPROVAL
PO-SYN-0000061,SUP-00418,PRD-00378,2024-06-22,2024-09-04,10102,1455.57,14704168.14,CNY,FULFILLED
PO-SYN-0000062,SUP-00458,PRD-00777,2024-02-20,2024-04-15,852,2175.56,1853577.12,usd,APPROVED
PO-SYN-0000063,SUP-00729,PRD-00332,2024/03/10,PENDING_DATE,3972,1455.61,5781682.92,CNY,IN_TRANSIT
PO-SYN-0000064,SUP-00547,PRD-01915,2026-06-09,2026-08-23,8859,1651.94,14634536.46,CNY,Approved
PO-SYN-0000065,SUP-00760,PRD-03131,07/12/2024,18-Sep-2024,3904,2307.23,9007425.92,CNY,Approved
PO-SYN-0000066,SUP-00120,PRD-00122,2026-04-01,2026-05-13,10763,1523.88,16401520.44,JPY,CANCELLED
PO-SYN-0000067,SUP-00237,PRD-04669,2024-02-26,2024-04-26,9455,1081.87,10229080.85,usd,approved 
PO-SYN-0000068,SUP-00720,PRD-04011,2025-08-03,2025-08-24,8547,2374.44,20294338.68,USD,IN_TRANSIT
PO-SYN-0000069,SUP-00358,PRD-03930,2024-07-13,2024-09-07,8985,2001.86,17986712.1,eur,Approved
PO-SYN-0000070,SUP-88888,PRD-01549,07/03/2024,11-Sep-2024,7233,1263.63,9139835.79,usd,approved 
PO-SYN-0000071,SUP-00412,PRD-01790,2024-07-31,2024-09-05,5353,728.27,3898429.31,eur,Approved
PO-SYN-0000072,SUP-00677,PRD-04101,2026/02/04,PENDING_DATE,14764,2445.57,36106395.48,GBP,Approved
