ShipmentID,PO_Number,OriginWarehouseID,Carrier,TransportMode,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,BaseFreightCost,FuelSurcharge_CrudeIndexed,Currency,ShipmentStatus
SHP-0000001,PO-SYN-0001278,WH-18,MSC Logistics,AIR,2024-11-19,2024-12-04,N/A,5719.35,1416.03,USD,DELAYED_WEATHER
SHP-0000002,PO-SYN-0002196,WH-16,DB Schenker,Ocean Freight,2025-07-29,2025-08-13,N/A,6086.64,1379.71,USD,IN_TRANSIT
SHP-0000003,PO-SYN-0009187,WH-01,Fed-Ex,Ocean Freight,2025-05-05,2025-05-20,2025-05-14,15402.96,2197.27,USD,DELIVERED
SHP-0000004,PO-SYN-0008946,WH-01,FedEx,Air Freight,2025-04-06,2025-04-21,N/A,9503.27,3002.07,USD,SCHEDULED
SHP-0000005,PO-SYN-0003126,WH-25,DHL,AIR,2025-07-01,2025-07-16,2025-07-14,19678.36,2432.45,USD,Delivered
SHP-0000006,PO-SYN-0000927,WH-30,DHL Express,AIR,2025-06-25,2025-07-10,N/A,8468.42,2652.57,USD,PORT_CUSTOMS_HOLD
SHP-0000007,PO-SYN-0012823,WH-09,FedEx,Ocean Freight,2024-02-03,2024-02-18,N/A,19142.95,3957.71,USD,IN_TRANSIT
SHP-0000008,PO-SYN-0001455,WH-27,DHL Express,Road Transport,2025-12-10,2025-12-25,N/A,$12573.17,1590.97,USD,SCHEDULED
SHP-0000009,PO-SYN-0003936,WH-01,MSC Logistics,Ocean,2026-02-07,2026-02-22,2026-03-15,1167.89,194.17,USD,DELIVERED
SHP-0000010,PO-SYN-0002681,WH-12,DHL Express,AIR,2026-03-26,2026-04-10,N/A,19844.88,2804.76,USD,PORT_CUSTOMS_HOLD
SHP-0000011,PO-SYN-0003998,WH-36,DHL Express,Ocean Freight,2024-05-31,2024-06-15,N/A,23686.89,5547.6,USD,IN_TRANSIT
SHP-0000012,PO-SYN-0002228,WH-45,DHL,AIR,2025-07-19,2025-08-03,N/A,12469.16,2650.19,USD,DELAYED_WEATHER
SHP-0000013,PO-SYN-0005019,WH-09,FEDEX EXPRESS,Ocean,2024-10-07,2024-10-22,N/A,16324.93,3788.66,USD,PORT_CUSTOMS_HOLD
SHP-0000014,PO-SYN-0016613,WH-24,FedEx,Ocean,2025-07-27,2025-08-11,N/A,FREE,3439.93,USD,IN_TRANSIT
SHP-0000015,PO-SYN-0007095,WH-08,MAERSK,Road Transport,2025-09-25,2025-10-10,N/A,22573.04,7197.94,USD,SCHEDULED
SHP-0000016,PO-SYN-0010613,WH-10,DHL,Road Transport,2026-05-15,2026-05-30,2026-06-11,$17346.03,2299.98,USD,Delivered
SHP-0000017,PO-SYN-0018348,WH-10,DHL,Air Freight,2025-11-06,2025-11-21,N/A,18667.46,3624.65,USD,DELAYED_WEATHER
SHP-0000018,PO-SYN-0019414,WH-16,FedEx,Truck,2024-07-24,2024-08-08,N/A,1241.68,256.81,USD,DELAYED_WEATHER
SHP-0000019,PO-SYN-0007419,WH-46,Fed-Ex,Air Freight,2026-04-18,2026-05-03,N/A,7274.1,1325.11,USD,DELAYED_WEATHER
SHP-0000020,PO-SYN-0017430,WH-04,FEDEX EXPRESS,Road Transport,2026-02-14,2026-03-01,N/A,,1456.47,USD,SCHEDULED
SHP-0000021,PO-SYN-0008673,WH-08,DB Schenker,Ocean,2026-03-09,2026-03-24,2026-04-15,3243.82,477.58,USD,Delivered
SHP-0000022,PO-SYN-0008161,WH-04,Maersk Line,Air Freight,2024-03-02,2024-03-17,2024-04-02,22892.18,5715.8,USD,DELIVERED
SHP-0000023,PO-SYN-0015956,WH-17,FedEx,Ocean Freight,2024-08-13,2024-08-28,2024-09-03,22197.59,6078.32,USD,Delivered
SHP-0000024,PO-SYN-0009281,WH-07,MSC Logistics,Ocean,2024-07-04,2024-07-19,2024-07-17,$9430.14,2383.25,USD,DELIVERED
SHP-0000025,PO-SYN-0016088,WH-26,FedEx,Road Transport,2024-09-01,2024-09-16,N/A,16482.55,5714.53,USD,PORT_CUSTOMS_HOLD
SHP-0000026,PO-SYN-0016738,WH-30,FedEx,AIR,2024-06-26,2024-07-11,2024-07-03,19850.9,4534.91,USD,Delivered
SHP-0000027,PO-SYN-0002134,WH-47,DHL,AIR,2025-01-17,2025-02-01,N/A,19488.18,3285.39,USD,DELAYED_WEATHER
SHP-0000028,PO-SYN-0004530,WH-43,DHL Express,Ocean,2025-10-30,2025-11-14,2025-11-11,FREE,1291.48,USD,DELIVERED
SHP-0000029,PO-SYN-0009027,WH-31,DHL,Road Transport,2025-05-09,2025-05-24,2025-06-14,24341.16,6472.86,USD,DELIVERED
SHP-0000030,PO-SYN-0004911,WH-34,MSC Logistics,Air Freight,2024-11-13,2024-11-28,N/A,23711.64,7871.11,USD,DELAYED_WEATHER
SHP-0000031,PO-SYN-0019773,WH-13,FedEx,Road Transport,2025-09-30,2025-10-15,N/A,15331.72,2809.85,USD,IN_TRANSIT
SHP-0000032,PO-SYN-0009752,WH-36,MSC Logistics,Air Freight,2025-04-16,2025-05-01,N/A,$5108.0,1386.57,USD,DELAYED_WEATHER
SHP-0000033,PO-SYN-0002776,WH-07,FedEx,Truck,2024-09-30,2024-10-15,2024-11-02,11521.84,3767.42,USD,Delivered
SHP-0000034,PO-SYN-0007452,WH-13,MAERSK,Air Freight,2024-05-09,2024-05-24,N/A,20220.78,6410.58,USD,DELAYED_WEATHER
SHP-0000035,PO-SYN-0002786,WH-17,MSC Logistics,Ocean Freight,2025-07-26,2025-08-10,N/A,14229.52,2679.31,USD,DELAYED_WEATHER
SHP-0000036,PO-SYN-0012379,WH-48,DHL Express,Air Freight,2024-12-21,2025-01-05,N/A,19694.2,6357.7,USD,SCHEDULED
SHP-0000037,PO-SYN-0010086,WH-03,FedEx,Road Transport,2025-06-10,2025-06-25,N/A,22673.61,4126.08,USD,DELAYED_WEATHER
SHP-0000038,PO-SYN-0011676,WH-35,MAERSK,Ocean Freight,2025-10-27,2025-11-11,2025-11-13,12885.66,2391.37,USD,Delivered
SHP-0000039,PO-SYN-0010263,WH-37,FedEx,Road Transport,2024-10-07,2024-10-22,N/A,7549.24,2029.82,USD,PORT_CUSTOMS_HOLD
SHP-0000040,PO-SYN-0008109,WH-31,DHL,AIR,2024-04-02,2024-04-17,N/A,$10770.29,2361.85,USD,DELAYED_WEATHER
SHP-0000041,PO-SYN-0010382,WH-14,FEDEX EXPRESS,Ocean Freight,2025-09-21,2025-10-06,2025-10-08,5537.38,797.71,USD,DELIVERED
SHP-0000042,PO-SYN-0002959,WH-01,DHL Express,Ocean Freight,2025-12-20,2026-01-04,N/A,FREE,1132.6,USD,SCHEDULED
SHP-0000043,PO-SYN-0014433,WH-33,DHL,AIR,2025-11-27,2025-12-12,2025-12-05,9447.52,2136.82,USD,Delivered
SHP-0000044,PO-SYN-0010212,WH-08,DHL,Road Transport,2024-12-15,2024-12-30,N/A,21058.54,2720.61,USD,PORT_CUSTOMS_HOLD
SHP-0000045,PO-SYN-0019920,WH-21,DB Schenker,Ocean,2025-02-06,2025-02-21,2025-03-08,22544.84,3099.31,USD,Delivered
SHP-0000046,PO-SYN-0017047,WH-36,DHL,Road Transport,2024-12-17,2025-01-01,N/A,19821.9,5613.05,USD,PORT_CUSTOMS_HOLD
SHP-0000047,PO-SYN-0010876,WH-21,FEDEX EXPRESS,Ocean,2024-12-16,2024-12-31,N/A,5213.83,1574.85,USD,PORT_CUSTOMS_HOLD
SHP-0000048,PO-SYN-0018383,WH-27,Fed-Ex,Air Freight,2026-01-05,2026-01-20,2026-01-21,$14029.12,3759.95,USD,DELIVERED
SHP-0000049,PO-SYN-0006803,WH-04,DB Schenker,Ocean,2025-06-27,2025-07-12,2025-07-09,9491.71,3137.91,USD,DELIVERED
SHP-0000050,PO-SYN-0012054,WH-37,Maersk Line,Ocean Freight,2025-07-06,2025-07-21,N/A,18263.28,3706.14,USD,SCHEDULED
SHP-0000051,PO-SYN-0005685,WH-23,MAERSK,Ocean,2026-01-14,2026-01-29,N/A,7983.94,1708.29,USD,IN_TRANSIT
SHP-0000052,PO-SYN-0009430,WH-17,Fed-Ex,Ocean Freight,2025-01-20,2025-02-04,N/A,5526.2,678.33,USD,SCHEDULED
SHP-0000053,PO-SYN-0016804,WH-08,MAERSK,Air Freight,2026-04-19,2026-05-04,N/A,4336.07,538.83,USD,DELAYED_WEATHER
SHP-0000054,PO-SYN-0005824,WH-03,DHL Express,Ocean Freight,2025-06-27,2025-07-12,N/A,19170.92,4290.67,USD,IN_TRANSIT
SHP-0000055,PO-SYN-0011998,WH-21,Fed-Ex,Ocean Freight,2026-03-11,2026-03-26,2026-04-10,24144.69,8198.89,USD,Delivered
SHP-0000056,PO-SYN-0011852,WH-11,FedEx,Truck,2024-12-03,2024-12-18,N/A,$2989.65,1010.82,USD,IN_TRANSIT
SHP-0000057,PO-SYN-0013812,WH-23,DHL Express,Truck,2025-11-17,2025-12-02,N/A,3026.85,551.15,USD,PORT_CUSTOMS_HOLD
SHP-0000058,PO-SYN-0016276,WH-20,Fed-Ex,Road Transport,2025-12-19,2026-01-03,N/A,21440.08,3158.21,USD,DELAYED_WEATHER
SHP-0000059,PO-SYN-0000742,WH-25,Maersk Line,Truck,2026-05-23,2026-06-07,2026-05-31,15578.0,4883.7,USD,Delivered
SHP-0000060,PO-SYN-0008065,WH-22,FEDEX EXPRESS,Ocean Freight,2026-05-01,2026-05-16,N/A,,3046.34,USD,SCHEDULED
SHP-0000061,PO-SYN-0005104,WH-23,FEDEX EXPRESS,Ocean,2025-09-09,2025-09-24,N/A,13311.72,2006.12,USD,IN_TRANSIT
SHP-0000062,PO-SYN-0019784,WH-07,MAERSK,Ocean,2026-05-22,2026-06-06,N/A,7567.47,1484.88,USD,SCHEDULED
SHP-0000063,PO-SYN-0018559,WH-27,DHL,Ocean Freight,2024-05-15,2024-05-30,N/A,11924.0,2198.87,USD,IN_TRANSIT
SHP-0000064,PO-SYN-0005750,WH-30,DHL Express,Ocean Freight,2025-10-06,2025-10-21,2025-10-19,$22365.07,4450.2,USD,Delivered
SHP-0000065,PO-SYN-0004897,WH-17,DHL,AIR,2025-07-30,2025-08-14,N/A,22203.13,3049.73,USD,IN_TRANSIT
SHP-0000066,PO-SYN-0002472,WH-38,MSC Logistics,Air Freight,2024-07-24,2024-08-08,2024-07-29,16719.47,4161.34,USD,DELIVERED
SHP-0000067,PO-SYN-0005733,WH-37,DB Schenker,Ocean Freight,2024-09-13,2024-09-28,N/A,18423.15,2673.62,USD,IN_TRANSIT
SHP-0000068,PO-SYN-0002542,WH-50,MAERSK,Ocean,2024-08-11,2024-08-26,N/A,5742.47,845.3,USD,DELAYED_WEATHER
SHP-0000069,PO-SYN-0009243,WH-43,Maersk Line,Road Transport,2025-08-13,2025-08-28,N/A,17459.6,2168.13,USD,SCHEDULED
SHP-0000070,PO-SYN-0012266,WH-45,FedEx,Air Freight,2024-02-29,2024-03-15,N/A,FREE,2062.37,USD,DELAYED_WEATHER
