SupplierID,SupplierName,Country,Currency,PaymentTerms,SupplierRating,PrimaryRawMaterialExposure,Status
SUP-00001,Apex Cable & Wire 1,India,INR,2/10 Net 30,3.94,Copper,Active
SUP-00002,Horizon Industrial 2,Taiwan,TWD,2/10 Net 30,4.53,Rare Earths,Inactive
SUP-00003,Bavarian Electronics 3,China,CNY,Net 30,3.84,Copper,Active
SUP-00004,Apex Electronics 4,USA,USD,LC At Sight,4.67,Steel,Inactive
SUP-00005,Vanguard Microtech 5,South Korea,KRW,Net 30,3.04,Electronics,Inactive
SUP-00006,Pacific Polymer Corp 6,Vietnam,VND,Net 30,2.27,Packaging,Active
SUP-00007,Sino Electronics 7,Japan,JPY,COD,4.11,Packaging,Active
SUP-00008,Global Cable & Wire 8,UK,GBP,Net 60,3.27,Steel,Preferred
SUP-00009,Andean Electronics 9,Germany,EUR,Net 60,4.5,Packaging,Inactive
SUP-00010,Horizon Electronics 10,South Korea,KRW,2/10 Net 30,2.78,Steel,Preferred
SUP-00011,Bavarian Metal Tech 11,Taiwan,TWD,Net 30,4.3,Rare Earths,Active
SUP-00012,Precision Polymer Corp 12,Vietnam,VND,2/10 Net 30,3.29,Crude Oil / Polymers,Under Review
SUP-00013,Nippon Polymer Corp 13,Unknown,CAD,COD,3.37,Steel,Inactive
SUP-00014,Andean Chemical Resins 14,India,INR,Net 60,,Freight,Active
SUP-00015,Andean Electronics 15,South Korea,KRW,Net 60,2.61,Rare Earths,Active
SUP-00016,Global Metal Tech 16,Japan,JPY,COD,4.65,Steel,Inactive
SUP-00017,Andean Electronics 17,UK,GBP,Net 30,2.78,Steel,Under Review
SUP-00018,Andean Electronics 18,South Korea,KRW,2/10 Net 30,4.5,Freight,Active
SUP-00019,Sino Cable & Wire 19,Mexico,MXN,LC At Sight,2.3,Freight,Inactive
SUP-00020,Andean Chemical Resins 20,Mexico,MXN,Net 30,4.9,Rare Earths,Inactive
SUP-00021,Bavarian Polymer Corp 21,Canada,CAD,Net 30,4.71,Electronics,Active
SUP-00022,Nippon Industrial 22,Japan,JPY,Net 60,4.75,Copper,Active
SUP-00023,Bavarian Polymer Corp 23,Taiwan,TWD,LC At Sight,2.6,Copper,Preferred
SUP-00024,Global Chemical Resins 24,Canada,CAD,LC At Sight,3.91,Crude Oil / Polymers,Active
SUP-00025,Vanguard Electronics 25,Vietnam,VND,COD,4.81,Packaging,Active
SUP-00026,Bavarian Logistics Parts 26,Unknown,TWD,COD,3.51,Copper,Under Review
SUP-00027,Titan Logistics Parts 27,Japan,JPY,LC At Sight,4.5,Rare Earths,Preferred
SUP-00028,Sino Industrial 28,South Korea,KRW,LC At Sight,,Crude Oil / Polymers,Preferred
SUP-00029,Nippon Industrial 29,USA,USD,Net 30,3.17,Copper,Active
SUP-00030,Vanguard Cable & Wire 30,USA,USD,Net 30,3.53,Electronics,Inactive
SUP-00031,Sino Electronics 31,UK,GBP,Net 30,3.49,Steel,Preferred
SUP-00032,Horizon Logistics Parts 32,Japan,JPY,2/10 Net 30,3.56,Steel,Preferred
SUP-00033,Vanguard Electronics 33,Taiwan,TWD,Net 30,4.04,Copper,Preferred
SUP-00034,Pacific Metal Tech 34,China,CNY,COD,4.76,Copper,Inactive
SUP-00035,Andean Metal Tech 35,Mexico,MXN,LC At Sight,4.26,Crude Oil / Polymers,Under Review
SUP-00036,Precision Metal Tech 36,Japan,JPY,COD,4.5,Packaging,Active
SUP-00037,Andean Logistics Parts 37,Japan,JPY,COD,4.53,Steel,Active
SUP-00038,Pacific Industrial 38,Germany,EUR,Net 60,2.91,Electronics,Active
SUP-00039,Sino Electronics 39,Unknown,MXN,LC At Sight,4.44,Electronics,Under Review
SUP-00040,Atlas Cable & Wire 40,India,INR,Net 60,3.33,Packaging,Inactive
SUP-00041,Andean Chemical Resins 41,Germany,EUR,LC At Sight,2.64,Copper,Active
SUP-00042,Bavarian Cable & Wire 42,South Korea,KRW,2/10 Net 30,,Rare Earths,Inactive
SUP-00043,Titan Logistics Parts 43,USA,USD,Net 30,4.54,Electronics,Preferred
SUP-00044,Titan Microtech 44,Germany,EUR,2/10 Net 30,4.15,Packaging,Inactive
SUP-00045,Horizon Microtech 45,Taiwan,TWD,Net 30,4.5,Packaging,Active
SUP-00046,Titan Logistics Parts 46,Germany,EUR,LC At Sight,2.79,Steel,Active
SUP-00047,Apex Metal Tech 47,UK,GBP,COD,4.41,Freight,Inactive
SUP-00048,Apex Cable & Wire 48,Chile,USD,2/10 Net 30,4.51,Electronics,Active
SUP-00049,Atlas Chemical Resins 49,Chile,USD,Net 30,2.04,Rare Earths,Inactive
SUP-00050,Sino Industrial 50,USA,USD,Net 30,2.29,Copper,Active
SUP-00051,Apex Polymer Corp 51,Canada,CAD,2/10 Net 30,3.73,Rare Earths,Active
SUP-00052,Vanguard Electronics 52,Unknown,TWD,COD,3.96,Packaging,Active
SUP-00053,Pacific Cable & Wire 53,Taiwan,TWD,Net 30,3.78,Steel,Inactive
SUP-00054,Apex Cable & Wire 54,India,INR,COD,4.5,Electronics,Under Review
SUP-00055,Sino Cable & Wire 55,USA,USD,COD,4.15,Copper,Active
SUP-00056,Precision Cable & Wire 56,Chile,USD,COD,,Rare Earths,Inactive
SUP-00057,Apex Chemical Resins 57,South Korea,KRW,Net 30,3.76,Copper,Preferred
SUP-00058,Vanguard Microtech 58,India,INR,Net 30,4.17,Copper,Active
SUP-00059,Horizon Polymer Corp 59,Germany,EUR,Net 30,2.38,Electronics,Preferred
SUP-00060,Titan Chemical Resins 60,USA,USD,Net 60,3.73,Electronics,Under Review
SUP-00061,Pacific Industrial 61,China,CNY,LC At Sight,3.26,Crude Oil / Polymers,Inactive
SUP-00062,Atlas Logistics Parts 62,India,INR,Net 30,3.98,Packaging,Inactive
SUP-00063,Andean Industrial 63,Chile,USD,LC At Sight,4.5,Crude Oil / Polymers,Active
SUP-00064,Global Metal Tech 64,Chile,USD,2/10 Net 30,3.44,Electronics,Active
SUP-00065,Atlas Polymer Corp 65,Unknown,JPY,2/10 Net 30,2.11,Rare Earths,Inactive
SUP-00066,Andean Chemical Resins 66,UK,GBP,COD,3.56,Freight,Active
SUP-00067,Global Metal Tech 67,Canada,CAD,Net 30,3.41,Crude Oil / Polymers,Inactive
SUP-00068,Andean Logistics Parts 68,Vietnam,VND,LC At Sight,3.2,Electronics,Inactive
SUP-00069,Nippon Chemical Resins 69,UK,GBP,LC At Sight,2.6,Electronics,Under Review
SUP-00070,Titan Electronics 70,India,INR,LC At Sight,,Steel,Inactive
SUP-00071,Titan Chemical Resins 71,China,CNY,Net 30,3.88,Crude Oil / Polymers,Under Review
